1;Banco de Bogota
2;Banco Popular
3;Banco CorpBanca
4;Bancolombia
5;Citibank
6;Banco GNB Sudameris
7;BBVA Colombia
8;Banco de Occidente
9;Banco Caja Social
10;Davivienda
11;Scotiabank
12;Banagrario
13;AV Villas
14;Banco Credifinanciera
15;Bancamía S.A.
16;Banco W S.A.
17;Bancoomeva
18;Finandina
19;Banco Falabella S.A.
20;Banco Pichincha S.A.
21;Banco Santander
22;Banco Mundo Mujer
23;Banco Multibank
24;Banco Serfinanzas
25;Corficolombiana
26;Banca de Inversión Bancolombia
27;BNP Paribas
28;Giros y Finanzas
29;Tuya
30;Leasing Bancoldex
31;Financiera DANN Regional
32;Credifamilia
33;CREZCAMOS
34;FINANCIERA JURISCOOP C.F.
35;Bancoldex
36;Findeter
37;Financiera de Desarrollo Nacional S.A
38;Finagro
39;Icetex
40;Fogafin
41;Fondo Nacional del Ahorro
42;Fogacoop
43;Fondo Nacional de Garantías
44;Banco de la República
45;CREDIBANCO
46;ACH Colombia S.A.
47;MOVII S.A.
48;TECNIPAGOS
49; Coink S.A.
50;Grupo Aval Acciones Y Valores S.A.
51;Grupo De Inversiones Suramericana S.A.
52;Grupo Bolívar S.A.
53;Cooperativa Médica Del Valle Y De Profesionales De Colombia Coomeva
